ressort,url,initial_status,final_status,title,description,hreflang,canonical_url,uses_gsb
BMI,https://ansprechstelle-safe-sport.de,200,200,Safe Sport e.V.,"Dein Halt bei Gewaltwenn Sport kein Safe Space mehr ist Unabhängige Ansprechstelle für Betroffene sexualisierter, psychischer und physischer Gewalt im Sport UnsereBeratungsgrundsätze Betroffenenzentrierung Die ratsuchende Person entscheidet, welche Unterstützung sie wünscht. Die Berater:innen unterstützen einfühlsam, ressourcen- und lösungsorientiert. Vertraulichkeit Die Ansprechstelle stellt absolute Vertraulichkeit und Anonymität sicher. Unabhängigkeit Die Beratungstätigkeit ist ausschließlich den Ratsuchenden verpflichtet ... Weiterlesen","de, en",https://ansprechstelle-safe-sport.de/,False
BMI,https://ansprechstelle-safe-sport.org,unavailable,unavailable,,,,,
BMI,https://antisemitismus-beauftragte.de,unavailable,unavailable,,,,,
BMI,https://antisemitismus-beauftragter.de,unavailable,unavailable,,,,,
BMI,https://antisemitismusbeauftragte.com,unavailable,unavailable,,,,,
BMI,https://antisemitismusbeauftragte.de,307,200,,,,,False
BMI,https://antisemitismusbeauftragte.info,unavailable,unavailable,,,,,
BMI,https://antisemitismusbeauftragte.net,unavailable,unavailable,,,,,
BMI,https://antisemitismusbeauftragte.org,unavailable,unavailable,,,,,
BMI,https://antisemitismusbeauftragter.com,unavailable,unavailable,,,,,
BMI,https://antisemitismusbeauftragter.de,unavailable,unavailable,,,,,
BMI,https://antisemitismusbeauftragter.info,unavailable,unavailable,,,,,
BMI,https://antisemitismusbeauftragter.net,unavailable,unavailable,,,,,
BMI,https://antisemitismusbeauftragter.org,unavailable,unavailable,,,,,
BMI,https://atlasta2030.de,301,200,TA2030,,,,False
BMI,https://atlasta2030.eu,301,200,TA2030,,,,False
BMI,https://aufenthaltsgesetz.de,unavailable,unavailable,,,,,
BMI,https://aussiedlerbeauftragte.de,307,200,Die Beauftragte für Aussiedlerfragen und nationale Minderheiten  -  Bundesministerium des Innern - AUSB,,,https://www.aussiedlerbeauftragte.de/Webs/AUSB/DE/startseite/startseite-node.html,True
BMI,aussiedlerbeauftragter.info,unavailable,unavailable,,,,,
BMI,https://aussiedlerbeauftragter.com,unavailable,unavailable,,,,,
BMI,https://aussiedlerbeauftragter.eu,unavailable,unavailable,,,,,
BMI,https://aussiedlerbeauftragter.net,unavailable,unavailable,,,,,
BMI,https://aussiedlerbeauftragter.org,unavailable,unavailable,,,,,
BMI,https://ausweisapp.bund.de,301,200,AusweisApp: Software zur Nutzung der Online-Ausweisfunktion,"Mit der Online-Ausweisfunktion des Personalausweises, elektronischen Aufenthaltstitels und der eID-Karte können Sie sich einfach und sicher im Internet ausweisen. Die AusweisApp ermöglicht dabei den verschlüsselten Datenaustausch zwischen Ausweis und Dienst.","de, en, x-default",https://www.ausweisapp.bund.de/home,False
BMI,https://bakoev-bund.de,unavailable,unavailable,,,,,
BMI,https://barrierefreieit.de,unavailable,unavailable,,,,,
BMI,https://behoerden-suche.eu,unavailable,unavailable,,,,,
BMI,https://behoerden-wegweiser.eu,unavailable,unavailable,,,,,
BMI,https://behoerdennummer.com,unavailable,unavailable,,,,,
BMI,https://behoerdennummer.de,unavailable,unavailable,,,,,
BMI,https://behoerdennummer.eu,unavailable,unavailable,,,,,
BMI,https://behoerdennummer.info,unavailable,unavailable,,,,,
BMI,https://behoerdennummer.net,unavailable,unavailable,,,,,
BMI,https://behoerdennummer.org,unavailable,unavailable,,,,,
BMI,https://behoerdenruf.com,unavailable,unavailable,,,,,
BMI,https://behoerdenruf.eu,unavailable,unavailable,,,,,
BMI,https://behoerdenruf.info,unavailable,unavailable,,,,,
BMI,https://behoerdenruf.net,unavailable,unavailable,,,,,
BMI,https://behoerdenruf.org,unavailable,unavailable,,,,,
BMI,https://behoerdenservice.com,unavailable,unavailable,,,,,
BMI,https://behoerdenservice.de,unavailable,unavailable,,,,,
BMI,https://behoerdenservice.eu,unavailable,unavailable,,,,,
BMI,https://behoerdenservice.info,unavailable,unavailable,,,,,
BMI,https://behoerdenservice.org,unavailable,unavailable,,,,,
BMI,https://behoerdensuche.eu,unavailable,unavailable,,,,,
BMI,https://behoerdenwegweiser.eu,unavailable,unavailable,,,,,
BMI,https://behordennummer.org,unavailable,unavailable,,,,,
BMI,https://behordenruf.com,unavailable,unavailable,,,,,
BMI,https://behordenruf.de,unavailable,unavailable,,,,,
BMI,https://behordenruf.net,unavailable,unavailable,,,,,
BMI,https://behordenruf.org,unavailable,unavailable,,,,,
BMI,https://behordenservice.com,unavailable,unavailable,,,,,
BMI,https://behordenservice.de,unavailable,unavailable,,,,,
BMI,https://behordenservice.net,unavailable,unavailable,,,,,
BMI,https://behordenservice.org,unavailable,unavailable,,,,,
BMI,https://behördennummer.eu,unavailable,unavailable,,,,,
BMI,https://behördennummer.info,unavailable,unavailable,,,,,
BMI,https://behördennummer.net,unavailable,unavailable,,,,,
BMI,https://behördennummmer.com,unavailable,unavailable,,,,,
BMI,https://behördenruf.biz,unavailable,unavailable,,,,,
BMI,https://behördenruf.info,unavailable,unavailable,,,,,
BMI,https://behördenservice.biz,unavailable,unavailable,,,,,
BMI,https://behördenservice.info,unavailable,unavailable,,,,,
BMI,https://bescha-bund.de,unavailable,unavailable,,,,,
BMI,https://bfv-bund.de,unavailable,unavailable,,,,,
BMI,https://bib-bund.de,unavailable,unavailable,,,,,
BMI,https://bibliotheksportal.com,unavailable,unavailable,,,,,
BMI,https://bibliotheksportal.info,unavailable,unavailable,,,,,
BMI,https://bibliotheksportal.net,unavailable,unavailable,,,,,
BMI,https://bibliotheksportal.org,unavailable,unavailable,,,,,
BMI,https://bm-stadtentwicklung.de,unavailable,unavailable,,,,,
BMI,https://bm-wohnen.de,unavailable,unavailable,,,,,
BMI,https://bm-wohnungsbau.de,unavailable,unavailable,,,,,
BMI,https://bmfsfj-bund.de,unavailable,unavailable,,,,,
BMI,https://bmi-bund.berlin,unavailable,unavailable,,,,,
BMI,https://bmi-bund.de,unavailable,unavailable,,,,,
BMI,https://bmi.berlin,unavailable,unavailable,,,,,
BMI,https://bmi.eu,unavailable,unavailable,,,,,
BMI,https://bmibund.berlin,unavailable,unavailable,,,,,
BMI,https://bmibund.de,unavailable,unavailable,,,,,
BMI,https://bpjm-bund.de,unavailable,unavailable,,,,,
BMI,https://bsi-portal.de,unavailable,unavailable,,,,,
BMI,https://bsi.bund.de,301,200,BSI  -  Bundesamt für Sicherheit in der Informationstechnik,Das Bundesamt für Sicherheit in der Informationstechnik (BSI) ist die Cyber-Sicherheitsbehörde des Bundes und Gestalter einer sicheren Digitalisierung in Deutschland.,,https://www.bsi.bund.de/DE/Home/home_node.html,True
BMI,https://bund.id,unavailable,unavailable,,,,,
BMI,https://bundes-portal.com,unavailable,unavailable,,,,,
BMI,https://bundes-portal.de,unavailable,unavailable,,,,,
BMI,https://bundes-portal.digital,unavailable,unavailable,,,,,
BMI,https://bundes-portal.eu,unavailable,unavailable,,,,,
BMI,https://bundes-portal.online,unavailable,unavailable,,,,,
BMI,https://bundes-portal.org,unavailable,unavailable,,,,,
BMI,https://bundes-verwaltung.de,unavailable,unavailable,,,,,
BMI,https://bundesantisemitismusbeauftragte.de,unavailable,unavailable,,,,,
BMI,https://bundesantisemitismusbeauftragter.de,unavailable,unavailable,,,,,
BMI,https://bundesbauminister.com,unavailable,unavailable,,,,,
BMI,https://bundesbauminister.de,unavailable,unavailable,,,,,
BMI,https://bundesbauminister.net,unavailable,unavailable,,,,,
BMI,https://bundesbauminister.org,unavailable,unavailable,,,,,
BMI,https://bundesbauministerin.de,302,200,"BMWSB  -  Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen - BMWSB",,,https://www.bmwsb.bund.de/Webs/BMWSB/DE/startseite/startseite-node.html,True
BMI,https://bundesbauministerium.com,unavailable,unavailable,,,,,
BMI,https://bundesbauministerium.de,unavailable,unavailable,,,,,
BMI,https://bundesbauministerium.net,unavailable,unavailable,,,,,
BMI,https://bundesbauministerium.org,unavailable,unavailable,,,,,
BMI,https://bundesbeflaggung.com,unavailable,unavailable,,,,,
BMI,https://bundesbeflaggung.de,307,200,,,,,False
BMI,https://bundesbeflaggung.info,unavailable,unavailable,,,,,
BMI,https://bundesbeflaggung.net,unavailable,unavailable,,,,,
BMI,https://bundesbeflaggung.org,unavailable,unavailable,,,,,
BMI,https://bundesbibliothek.com,unavailable,unavailable,,,,,
BMI,https://bundesbibliothek.de,unavailable,unavailable,,,,,
BMI,https://bundesbibliothek.info,unavailable,unavailable,,,,,
BMI,https://bundeshilfe.de,unavailable,unavailable,,,,,
BMI,https://bundesinnenminister.berlin,unavailable,unavailable,,,,,
BMI,https://bundesinnenminister.com,unavailable,unavailable,,,,,
BMI,https://bundesinnenminister.de,unavailable,unavailable,,,,,
BMI,https://bundesinnenminister.eu,unavailable,unavailable,,,,,
